"CUENTA","GANACIA","TOTALCAMPANAS","PARTICIPACION"
"18,048","1,621.94",1,1
"18,066","148,715.57",56,0.19
"18,075","159,818.32",27,0.25
"18,081","79,093.01",168,0.04
"18,082","326,629.36",181,0.2
"18,089","103,338.45",44,0.21
"18,094","36,361.64",5,0.8
"18,107","2,407,056.33",204,0.18
"18,108","82,258.62",29,0.15
"18,123","-1,574.28",4,0.75
"18,133",744.72,1,1
"18,147","167,111.72",93,0.12
"18,159","1,429.22",1,1
"18,172","7,059.93",1,1
"18,186","550,808.83",204,0.12
"18,192","93,826.82",22,0.21
"18,215","476,802.76",47,0.15
"18,216","31,878.78",23,0.1
"18,228","12,059.87",1,1
"18,236","2,633.18",4,0.75
"18,244","34,053.96",3,1
"18,249","663,931.93",53,0.24
"18,267","-1,190.24",42,0.01
"18,272","-2,421.68",1,1
"18,275","2,114.83",2,0.5
"18,288","106,154.37",122,0.03
"18,333","23,774.25",14,0.93
"18,334","-1,130.58",1,1
"18,336","169,409.1",204,0.17
"18,350","33,742.66",21,0.07
"18,363","-11,393.02",3,1
"18,376","248,429.69",205,0.17
"18,383","211,259.93",113,0.14
"18,388","118,841.94",32,0.26
"18,390","7,454.76",2,1
"18,391","54,653.51",46,0.05
"18,411","-18,352.75",38,0.05
"18,426","1,187,324.55",204,0.18
"18,430","10,403.01",192,0.02
"18,432","266,321.82",204,0.14
"18,435","355,146.05",204,0.12
"18,437","37,139.77",167,0.06
"18,442","210,219.17",27,0.17
"18,453","59,037.81",28,0.11
"18,457","374,940.02",184,0.18
"18,460","23,868.05",167,0.03
"18,467","1,298,848.47",204,0.17
"18,469","18,036.1",2,1
"18,490","320,931.08",203,0.18
"18,513",908.92,6,0.06
"18,520","148,344.61",179,0.17
"18,521","320,147.44",204,0.18
"18,540","86,203.89",37,0.08
"18,550","43,521.45",7,0.86
"18,572","21,095.28",9,0.07
"18,580","8,210.77",58,0.08
"18,582","10,487.96",2,1
"18,588","51,137.84",11,0.12
"18,613","15,520.3",5,1
"18,631","1,416,390.27",204,0.18
"18,642","59,849.94",38,0.09
"18,643","12,881.54",8,1
"18,650","212,878.49",173,0.17
"18,652","392,862.43",171,0.19
"18,672","244,623.17",34,0.29
"18,677","126,617.54",130,0.09
"18,682","340,994.53",143,0.2
"18,683","68,584.44",12,0.09
"18,699","421,705.38",203,0.13
"18,711",242.32,1,1
"18,712","529,049.06",51,0.24
"18,714","-2,343.01",21,0.02
"18,725","1,400.16",1,1
"18,726","36,051.78",54,0.04
"18,729","8,093.86",1,1
"18,732","753,328.31",205,0.19
"18,733","13,473.84",1,1
"18,736","454,346.92",78,0.12
"18,737","751,069.32",203,0.18
"18,789","185,898.01",53,0.24
"18,790","137,074.37",10,0.9
"18,797","74,164.51",159,0.18
"18,821","250,115.37",40,0.2
"18,823","1,700.83",7,1
"18,838","226,078.04",57,0.18
"18,842","82,425.21",20,0.03
"18,843","285,931.07",204,0.13
"18,844","1,068,608.85",205,0.19
